date,water_name,sample_id,info_type,data_provider,extent,lake_ID,Location ID,Y_Coordinate,X_Coordinate,lab_sample_name,lab_name,Bluegreen,Total,Cryptophyta,Green,Diatom,Microscopy
8/12/2018,Java Lake,18-147-B2,SB,CSL,small localized,0602LEB0153,1701LON0800_C,40.79663,-73.951402,2018226008,UFI,185.28,185.91,0.63,0,0,"Aphanizomenon, Anabaena, Dolichospermum, Woronchinia"
8/12/2018,Montgomery Lake,18-236-B3,SB,CSL,small localized,1701LON0800,0602LEB0153_C,40.657091,-73.965494,2018226009,UFI,182583,222940,40357,0,0,"Spirulina, Planktothrix, pennate diatoms"
8/12/2018,Tully Lake,18-234-B1,SB,CSL,small localized,0602LEB0153,1308LRH0888_C,40.662117,-73.971017,2018226010,UFI,13.23,24.044,10.814,0,0,"Planktothrix, Woronchinia"
8/13/2018,Chautauqua Lake,18-33-B7,SB,CSL,small localized,1308LRH0888,1301SLE6666_C,40.662466,-73.971755,2018226011,UFI,18.894,27.18,8.286,0,0,"Glaucospira, Dolichospermum, Aphanizomenon"
8/13/2018,Chautauqua Lake,18-33-B8,SB,CSL,small localized,1301SLE6666,1301ORA0340_C,40.779033,-73.967467,2018226012,UFI,2956.3,3604.3,648,0,0,"Dolichospermum, Aphanizomenon, Gloeotrichia, Lyngbya, Microcystis"
8/13/2018,Chautauqua Lake,18-33.1-B13,SB,CSL,small localized,1301ORA0340,0602LEB0153_C,40.83153,-73.749166,2018226013,UFI,202.62,221.05,18.43,0,0,"Woronchinia, Dolichospermum, Anabaena, Microcystis, Aphanizomenon"
8/13/2018,Honeoye Lake,18-3201-B34,SB,HON,small localized,0602LEB0153,1701LON0800_C,41.282372,-73.916974,2018226014,UFI,54.842,63.284,8.442,0,0,"Dolichospermum, Woronchinia"
8/13/2018,Honeoye Lake,18-3202-B35,SB,HON,small localized,1701LON0800,0602LEB0153_C,41.281574,-73.91824,2018226015,UFI,184.568,204.501,19.933,0,0,"Woronchinia, Dolichospermum"
8/13/2018,Honeoye Lake,18-3203-B36,SB,HON,small localized,0602LEB0153,1308LRH0888_C,40.923512,-72.419107,2018226016,UFI,35.404,44.335,8.825,0.106,0,"Woronchinia, Dolichospermum, Aphanizomenon"
8/12/2018,Crooked Lake,18-17-B1,SB,CSL,small localized,1308LRH0888,1301SLE6666_C,"41.123777,",-72.334742,2018226040,UFI,5.284,84.899,2.445,73.273,4,Spirogyra
8/12/2018,Seneca Lake,18-92.4-04,OW,CSL,small localized,1301SLE6666,1301ORA0340_C,41.036026,-71.947728,2018226017,UFI,0,9.018,9.018,0,0,
8/12/2018,Seneca Lake,18-92.4-14,BS,CSL,small localized,1301ORA0340,0602LEB0153_C,41.043309,-71.95556,2018226018,UFI,0.191,1.535,1.165,0,0,
8/6/2018,Lake George,18-199.24-05,OW,CSL,small localized,0602LEB0153,0602LEB0153_C,40.94998,-72.23925,2018226019,UFI,0.199,0.491,0.002,0,0,
8/11/2018,Cayuga Lake,18-182.5-04,OW,CSL,small localized,0602LEB0153,0602LEB0153_C,40.93405,-72.23176,2018226021,UFI,5.647,8.811,0.314,2.357,0,
8/12/2018,Canandaigua Lake,18-253.1-04,OW,CSL,small localized,0602LEB0153,1701LON0800_C,40.94619,-72.19078,2018226022,UFI,0.475,3.033,0.414,1.128,1,
8/12/2018,Canandaigua Lake,18-253.1-14,BS,CSL,small localized,1701LON0800,0602LEB0153_C,40.88144,-72.392587,2018226023,UFI,0.306,2.682,0.69,0.758,1,
8/12/2018,Canada Lake,18-176-06,OW,CSL,small localized,0602LEB0153,1308LRH0888_C,40.917726,-72.409215,2018226026,UFI,0.602,1.358,0.083,0.369,0,
8/11/2018,Ballston Lake,18-77-05,OW,CSL,small localized,1308LRH0888,1301SLE6666_C,40.991885,-72.523684,2018226028,UFI,12.485,18.351,1.749,2.279,2,Anabaena
8/11/2018,Ballston Lake,18-77.1-05,OW,CSL,small localized,1301SLE6666,1301ORA0340_C,40.892166,-72.327704,2018226029,UFI,17.756,22.758,2.368,2.634,0,Anabaena
8/12/2018,Crooked Lake,18-17-05,OW,CSL,small localized,1301ORA0340,1301ORA0340_C,40.916949,-72.355471,2018226038,UFI,25.963,5.988,0.571,73.273,1,Spirogyra
