date,water_name,sample_id,info_type,lab_sample_name,lab_name,microcystin,microcystin detection limit,anatoxin,anatoxin detection limit 
8/12/2018,Java Lake,18-147-B2,SB,2018226008,UFI,"1,427.51",,,
8/12/2018,Montgomery Lake,18-236-B3,SB,2018226009,UFI,10.11,,,
8/12/2018,Tully Lake,18-234-B1,SB,2018226010,UFI,3.57,,,
8/13/2018,Chautauqua Lake,18-33-B7,SB,2018226011,UFI,34.31,,,
8/13/2018,Chautauqua Lake,18-33-B8,SB,2018226012,UFI,ND,,,
8/13/2018,Chautauqua Lake,18-33.1-B13,SB,2018226013,UFI,ND,,,
8/13/2018,Honeoye Lake,18-3201-B34,SB,2018226014,UFI,ND,,,
8/13/2018,Honeoye Lake,18-3202-B35,SB,2018226015,UFI,ND,,,
8/13/2018,Honeoye Lake,18-3203-B36,SB,2018226016,UFI,ND,,,
8/12/2018,Crooked Lake,18-17-B1,SB,2018226040,UFI,0.83,,,
8/12/2018,Seneca Lake,18-92.4-04,OW,2018226017,UFI,15.45,,,
8/12/2018,Seneca Lake,18-92.4-14,BS,2018226018,UFI,2.03,,,
8/6/2018,Lake George,18-199.24-05,OW,2018226019,UFI,ND,,,
8/11/2018,Cayuga Lake,18-182.5-04,OW,2018226021,UFI,ND,,,
8/12/2018,Canandaigua Lake,18-253.1-04,OW,2018226022,UFI,ND,,,
8/12/2018,Canandaigua Lake,18-253.1-14,BS,2018226023,UFI,ND,,,
8/12/2018,Canada Lake,18-176-06,OW,2018226026,UFI,ND,,,
8/11/2018,Ballston Lake,18-77-05,OW,2018226028,UFI,ND,,,
8/11/2018,Ballston Lake,18-77.1-05,OW,2018226029,UFI,ND,,,
8/12/2018,Crooked Lake,18-17-05,OW,2018226038,UFI,ND,,,
